repeticion_id,movimiento_real,movimiento_predicho,correcta
001_0137,001,010,0
012_0099,012,012,1
007_0219,007,007,1
015_0239,015,015,1
008_0281,008,008,1
006_0177,006,006,1
013_0047,013,013,1
013_0035,013,013,1
007_0142,007,007,1
009_0074,009,009,1
003_0012,003,003,1
015_0198,015,015,1
011_0138,011,011,1
002_0155,002,002,1
004_0158,004,004,1
000_0055,000,000,1
005_0108,005,005,1
006_0128,006,012,0
009_0046,009,008,0
004_0195,004,011,0
004_0072,004,004,1
006_0052,006,006,1
011_0039,011,011,1
002_0260,002,002,1
003_0094,003,003,1
011_0082,011,011,1
010_0068,010,006,0
011_0167,011,011,1
011_0178,011,011,1
006_0024,006,012,0
007_0135,007,007,1
007_0242,007,007,1
004_0109,004,004,1
002_0036,002,002,1
003_0035,003,003,1
004_0020,004,004,1
001_0118,001,009,0
007_0204,007,007,1
011_0217,011,011,1
002_0082,002,002,1
004_0175,004,004,1
015_0301,015,015,1
000_0051,000,000,1
006_0221,006,006,1
009_0226,009,009,1
013_0001,013,013,1
013_0187,013,013,1
004_0194,004,011,0
009_0256,009,009,1
010_0086,010,010,1
003_0108,003,003,1
013_0192,013,013,1
012_0044,012,012,1
000_0032,000,000,1
013_0269,013,013,1
007_0148,007,007,1
008_0076,008,008,1
004_0022,004,004,1
007_0227,007,007,1
009_0291,009,009,1
004_0080,004,011,0
001_0049,001,002,0
010_0082,010,010,1
011_0220,011,011,1
007_0310,007,007,1
010_0240,010,010,1
005_0061,005,005,1
009_0302,009,009,1
004_0130,004,004,1
004_0212,004,004,1
004_0230,004,004,1
015_0086,015,015,1
009_0193,009,009,1
007_0316,007,007,1
015_0127,015,015,1
009_0202,009,009,1
002_0166,002,002,1
007_0213,007,007,1
002_0240,002,002,1
006_0016,006,006,1
007_0115,007,007,1
004_0174,004,004,1
009_0262,009,009,1
005_0044,005,005,1
012_0220,012,012,1
007_0265,007,007,1
011_0110,011,011,1
007_0372,007,007,1
007_0159,007,007,1
012_0101,012,012,1
009_0203,009,009,1
009_0232,009,009,1
013_0279,013,013,1
010_0047,010,010,1
010_0042,010,010,1
001_0082,001,002,0
010_0299,010,010,1
005_0221,005,005,1
012_0152,012,012,1
006_0212,006,006,1
011_0230,011,011,1
008_0145,008,008,1
007_0137,007,007,1
002_0171,002,007,0
009_0234,009,009,1
007_0215,007,007,1
005_0288,005,005,1
003_0170,003,003,1
003_0020,003,003,1
010_0087,010,010,1
010_0118,010,010,1
009_0117,009,009,1
009_0129,009,009,1
011_0156,011,011,1
015_0232,015,015,1
009_0027,009,009,1
001_0026,001,002,0
015_0163,015,015,1
011_0118,011,011,1
008_0082,008,008,1
007_0102,007,007,1
000_0227,000,000,1
006_0109,006,006,1
008_0045,008,008,1
002_0015,002,002,1
003_0001,003,003,1
015_0125,015,015,1
004_0254,004,004,1
012_0288,012,012,1
012_0216,012,012,1
006_0031,006,006,1
012_0243,012,012,1
010_0310,010,010,1
013_0019,013,013,1
011_0193,011,011,1
009_0237,009,009,1
007_0050,007,007,1
002_0149,002,002,1
012_0083,012,012,1
015_0177,015,015,1
010_0100,010,001,0
005_0059,005,005,1
006_0110,006,006,1
002_0136,002,010,0
003_0071,003,003,1
015_0058,015,012,0
007_0281,007,007,1
009_0086,009,007,0
012_0266,012,012,1
002_0037,002,002,1
011_0205,011,011,1
011_0079,011,011,1
009_0264,009,009,1
002_0050,002,002,1
015_0218,015,015,1
009_0223,009,009,1
000_0105,000,000,1
012_0292,012,012,1
010_0001,010,010,1
001_0034,001,003,0
010_0249,010,010,1
012_0112,012,006,0
013_0029,013,004,0
011_0092,011,011,1
004_0224,004,010,0
002_0134,002,002,1
009_0072,009,009,1
008_0088,008,008,1
010_0277,010,010,1
000_0075,000,000,1
010_0145,010,010,1
010_0058,010,010,1
011_0071,011,011,1
004_0172,004,006,0
000_0225,000,000,1
005_0088,005,005,1
005_0224,005,005,1
009_0195,009,013,0
013_0299,013,013,1
012_0259,012,011,0
003_0151,003,003,1
007_0378,007,007,1
005_0020,005,005,1
013_0105,013,013,1
012_0217,012,012,1
003_0109,003,003,1
007_0205,007,007,1
007_0241,007,007,1
013_0197,013,013,1
007_0261,007,007,1
002_0192,002,002,1
009_0125,009,013,0
012_0143,012,007,0
015_0235,015,015,1
004_0048,004,004,1
003_0068,003,003,1
005_0243,005,005,1
015_0251,015,015,1
002_0152,002,002,1
015_0278,015,015,1
000_0091,000,000,1
007_0232,007,007,1
006_0093,006,006,1
000_0010,000,000,1
013_0150,013,013,1
000_0049,000,000,1
015_0025,015,015,1
008_0064,008,009,0
012_0151,012,015,0
007_0314,007,007,1
007_0226,007,007,1
009_0095,009,009,1
015_0207,015,015,1
001_0050,001,002,0
006_0037,006,012,0
008_0141,008,008,1
007_0229,007,007,1
015_0162,015,015,1
015_0195,015,015,1
009_0187,009,009,1
002_0106,002,002,1
008_0059,008,008,1
013_0161,013,013,1
003_0239,003,003,1
002_0064,002,002,1
005_0120,005,005,1
012_0154,012,012,1
005_0094,005,005,1
007_0087,007,007,1
010_0226,010,010,1
015_0287,015,015,1
012_0230,012,012,1
003_0146,003,003,1
003_0227,003,003,1
012_0092,012,012,1
005_0172,005,005,1
003_0009,003,003,1
011_0133,011,011,1
006_0059,006,012,0
007_0103,007,007,1
003_0173,003,003,1
005_0033,005,005,1
007_0382,007,007,1
013_0238,013,013,1
012_0139,012,012,1
005_0211,005,005,1
003_0114,003,010,0
001_0058,001,001,1
004_0055,004,004,1
012_0195,012,012,1
015_0080,015,015,1
007_0385,007,007,1
007_0361,007,007,1
007_0327,007,007,1
007_0218,007,007,1
006_0076,006,006,1
000_0020,000,000,1
005_0075,005,005,1
010_0022,010,010,1
009_0300,009,009,1
000_0127,000,000,1
005_0179,005,005,1
001_0180,001,001,1
015_0289,015,015,1
006_0036,006,006,1
015_0076,015,006,0
002_0145,002,002,1
010_0130,010,010,1
001_0044,001,002,0
