,precision,recall,f1-score,support
000,0.0,0.0,0.0,1856.0
001,0.0,0.0,0.0,1696.0
002,0.0,0.0,0.0,2136.0
003,0.0,0.0,0.0,2000.0
004,0.0,0.0,0.0,2296.0
005,0.0,0.0,0.0,2344.0
006,0.0,0.0,0.0,2080.0
007,0.09043927648578812,1.0,0.16587677725118483,3080.0
008,0.0,0.0,0.0,2392.0
009,0.0,0.0,0.0,2456.0
010,0.0,0.0,0.0,2488.0
011,0.0,0.0,0.0,1880.0
012,0.0,0.0,0.0,2344.0
013,0.0,0.0,0.0,2504.0
015,0.0,0.0,0.0,2504.0
accuracy,0.09043927648578812,0.09043927648578812,0.09043927648578812,0.09043927648578812
macro avg,0.006029285099052541,0.06666666666666667,0.011058451816745656,34056.0
weighted avg,0.008179262731272827,0.09043927648578812,0.015001775720391393,34056.0
