,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1805,7,9,7,1,2,0,1,11,2,10,0,0,0,1
001,1,1550,18,7,3,1,2,11,0,3,33,62,0,5,0
002,1,33,2039,18,1,4,0,1,1,4,16,13,2,3,0
003,2,18,4,1902,1,4,2,9,3,12,34,4,1,4,0
004,0,3,1,9,2149,15,3,7,0,0,17,91,0,1,0
005,0,1,0,0,35,2232,0,1,0,0,0,75,0,0,0
006,0,1,0,0,1,0,2011,5,0,3,1,25,24,6,3
007,0,0,0,0,2,0,0,3042,0,0,3,24,0,9,0
008,5,2,9,5,2,0,3,7,2269,60,12,0,3,10,5
009,1,7,5,10,3,0,5,7,23,2358,16,0,7,10,4
010,4,24,11,8,5,0,1,9,3,8,2408,4,2,1,0
011,0,0,0,0,4,5,0,2,0,0,0,1869,0,0,0
012,0,0,1,2,1,2,30,1,0,6,0,109,2179,1,12
013,0,3,4,0,4,3,4,3,0,1,3,34,5,2435,5
015,1,5,1,2,0,1,7,1,3,8,11,9,8,10,2437
