model,fold,accuracy,f1_macro,seconds,validation_rows
Dummy,1,0.0903755868544601,0.011051309651955507,0.17210244499801775,6816
Dummy,2,0.0903755868544601,0.011051309651955507,0.16783914899860974,6816
Dummy,3,0.09048178613396005,0.011063218390804598,0.1703175820002798,6808
Dummy,4,0.09048178613396005,0.011063218390804598,0.17057906400077627,6808
Dummy,5,0.09048178613396005,0.011063218390804598,0.15296759700140683,6808
Extra Trees,1,0.9598004694835681,0.9588520896007808,9.031892810999125,6816
Extra Trees,2,0.9564260563380281,0.954679555749114,9.13777078199928,6816
Extra Trees,3,0.961075205640423,0.9596316044682301,8.700870320997637,6808
Extra Trees,4,0.9574030552291422,0.9556190625068003,9.08206668099956,6808
Extra Trees,5,0.9640129259694477,0.9629564997121812,8.503684209001221,6808
Random Forest,1,0.9551056338028169,0.9539777877616575,38.41616477400021,6816
Random Forest,2,0.952024647887324,0.9501730867374738,38.65777340799832,6816
Random Forest,3,0.9563748531139835,0.9547492476517567,39.26699894600097,6808
Random Forest,4,0.9519682726204466,0.9500752008836614,39.21689891200003,6808
Random Forest,5,0.9576968272620446,0.956351827323172,39.452038096998876,6808
HistGradientBoosting,1,0.9661091549295775,0.964998037491035,15.533526565999637,6816
HistGradientBoosting,2,0.9640551643192489,0.9624849344572749,15.71680356700017,6816
HistGradientBoosting,3,0.967978848413631,0.9663542539701544,15.88210004800203,6808
HistGradientBoosting,4,0.963572267920094,0.9614086477221372,15.765355389998149,6808
HistGradientBoosting,5,0.9654817861339601,0.9649080782211479,15.77559174199996,6808
SVM RBF,1,0.9427816901408451,0.9413948106312126,10.334874180000043,6816
SVM RBF,2,0.9398474178403756,0.9376455683186997,10.389365515999089,6816
SVM RBF,3,0.9457990599294948,0.9442974855999181,10.497909081001126,6808
SVM RBF,4,0.9419800235017627,0.9400083926278185,10.031552809999994,6808
SVM RBF,5,0.9480023501762632,0.9464190388798374,9.672438709003472,6808
KNN,1,0.9269366197183099,0.9246500896108526,0.5997591199993622,6816
KNN,2,0.9307511737089202,0.9285105786965385,0.5959660610024002,6816
KNN,3,0.9308166862514688,0.9294128659052439,0.6073241039994173,6808
KNN,4,0.934048178613396,0.9328271196369241,0.5954645130004792,6808
KNN,5,0.9339012925969448,0.9319069109104301,0.6083970799991221,6808
Regresión logística,1,0.7136150234741784,0.7099328943112276,2.586462229999597,6816
Regresión logística,2,0.7224178403755869,0.7182647455894043,2.602156681998167,6816
Regresión logística,3,0.7217978848413631,0.7192179969803301,2.373976227998355,6808
Regresión logística,4,0.7220916568742656,0.7195502777895422,2.220878393000021,6808
Regresión logística,5,0.7125440658049353,0.7089354786145494,2.1731858210005157,6808
LDA regularizado,1,0.6115023474178404,0.6152500860836069,0.19385400300234323,6816
LDA regularizado,2,0.6172241784037559,0.6189462880980419,0.18666602200028137,6816
LDA regularizado,3,0.6263219741480611,0.6299534089155945,0.27632117299799575,6808
LDA regularizado,4,0.6170681551116334,0.6220776642255996,0.226329622000776,6808
LDA regularizado,5,0.6135428907168038,0.6204874833706573,0.18699816600201302,6808
MLP,1,0.9219483568075117,0.9198198187631287,20.423079460000736,6816
MLP,2,0.9194542253521126,0.9174146792585011,21.245754321000277,6816
MLP,3,0.9300822561692127,0.9285443439399601,21.699554033999448,6808
MLP,4,0.9245005875440658,0.9233195858560054,20.309986553998897,6808
MLP,5,0.9218566392479436,0.9192260754965488,20.85147047999999,6808
