,precision,recall,f1-score,support
000,0.9928922908693275,0.978448275862069,0.98561736770692,1856.0
001,0.9465045592705167,0.9180424528301887,0.9320562705776714,1696.0
002,0.962634283045306,0.9648876404494382,0.9637596446107084,2136.0
003,0.9773071104387292,0.969,0.97313582726588,2000.0
004,0.983235160851835,0.9451219512195121,0.9638019098378858,2296.0
005,0.9902568644818424,0.9539249146757679,0.9717514124293786,2344.0
006,0.9676328502415459,0.9629807692307693,0.9653012048192771,2080.0
007,0.989892402999674,0.9857142857142858,0.9877989263055149,3080.0
008,0.9808673469387755,0.9644648829431438,0.9725969645868465,2392.0
009,0.9619391025641025,0.9776058631921825,0.9697092084006462,2456.0
010,0.974,0.9786977491961415,0.9763432237369687,2488.0
011,0.8315168029064487,0.9739361702127659,0.897109260166585,1880.0
012,0.9275789473684211,0.9398464163822525,0.9336723882178427,2344.0
013,0.991876523151909,0.9752396166134185,0.9834877164720097,2504.0
015,0.989469420818145,0.9756389776357828,0.9825055298612507,2504.0
accuracy,0.9654392764857881,0.9654392764857881,0.9654392764857881,0.9654392764857881
macro avg,0.9645069110631053,0.9642366644105146,0.9639097903330257,34056.0
weighted avg,0.9669353957837933,0.9654392764857881,0.9657915636377415,34056.0
