,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1816,5,8,6,0,0,0,1,14,1,2,3,0,0,0
001,1,1557,33,8,0,0,0,9,2,4,22,40,16,4,0
002,0,37,2061,10,0,3,0,0,0,3,6,10,6,0,0
003,2,14,13,1938,0,1,2,5,0,4,18,1,1,1,0
004,0,1,0,5,2170,13,3,4,0,1,2,72,25,0,0
005,0,1,0,1,27,2236,1,1,0,0,2,75,0,0,0
006,0,1,0,0,1,0,2003,2,0,6,0,18,44,3,2
007,0,2,2,1,0,2,5,3036,1,0,3,17,10,1,0
008,5,1,2,1,0,0,3,1,2307,63,0,1,1,2,5
009,2,4,1,3,0,0,12,2,24,2401,3,0,2,1,1
010,2,16,15,7,2,1,4,0,1,2,2435,3,0,0,0
011,0,0,0,0,5,1,0,1,0,0,2,1831,40,0,0
012,0,0,1,1,0,0,21,2,0,5,1,98,2203,0,12
013,0,1,4,1,2,1,4,3,0,1,1,25,13,2442,6
015,1,5,1,1,0,0,12,0,3,5,3,8,14,8,2443
