,precision,recall,f1-score,support
000,0.9847161572052402,0.9719827586206896,0.9783080260303688,1856.0
001,0.7102587800369686,0.90625,0.7963730569948186,1696.0
002,0.9049107142857142,0.9489700374531835,0.926416819012797,2136.0
003,0.958974358974359,0.935,0.9468354430379747,2000.0
004,0.963442850532161,0.9067944250871081,0.9342607134844065,2296.0
005,0.9632706602536073,0.9398464163822525,0.9514143813431224,2344.0
006,0.9308145240431795,0.9120192307692307,0.921321029626032,2080.0
007,0.9490183660544649,0.9730519480519481,0.9608848990060916,3080.0
008,0.980355472404116,0.8762541806020067,0.9253863134657837,2392.0
009,0.9146677152968934,0.9470684039087948,0.9305861172234446,2456.0
010,0.9461474730737366,0.9180064308681672,0.9318645450836394,2488.0
011,0.937089715536105,0.9111702127659574,0.9239482200647249,1880.0
012,0.9196663740122915,0.8937713310580204,0.9065339679792298,2344.0
013,0.9467665615141956,0.9588658146964856,0.9527777777777777,2504.0
015,0.9578143832864604,0.952076677316294,0.9549369116763469,2504.0
accuracy,0.9312896405919662,0.9312896405919662,0.9312896405919662,0.9312896405919662
macro avg,0.9311942737672996,0.9300751911720094,0.9294565481204374,34056.0
weighted avg,0.9350498741993567,0.9312896405919662,0.9321797968636775,34056.0
