,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1804,11,13,10,0,1,2,0,7,3,4,0,1,0,0
001,4,1537,60,11,3,2,2,16,0,11,34,5,1,8,2
002,1,38,2027,21,1,10,1,2,0,5,11,10,5,3,1
003,3,23,29,1870,1,5,3,14,1,15,24,7,1,3,1
004,0,90,4,3,2082,45,7,14,2,1,8,19,9,4,8
005,0,72,9,1,37,2203,1,2,0,1,6,12,0,0,0
006,0,27,8,3,3,1,1897,3,0,3,2,8,87,20,18
007,0,24,3,2,9,4,5,2997,0,1,4,3,8,20,0
008,10,12,14,6,5,0,2,26,2096,151,14,4,6,20,26
009,2,1,8,1,1,0,13,25,22,2326,16,6,14,10,11
010,7,48,33,15,8,2,5,27,6,15,2284,16,3,4,15
011,0,130,8,0,6,11,1,4,1,1,1,1713,3,1,0
012,0,107,9,3,1,1,70,5,0,4,2,13,2095,17,17
013,0,35,8,3,1,2,9,18,1,3,1,10,6,2401,6
015,1,9,7,1,3,0,20,5,2,3,3,2,39,25,2384
