,precision,recall,f1-score,support
000,0.9690048939641109,0.9601293103448276,0.9645466847090663,1856.0
001,0.8877171215880894,0.84375,0.8651753325272068,1696.0
002,0.9117100371747212,0.9185393258426966,0.9151119402985075,2136.0
003,0.9402834008097166,0.929,0.9346076458752515,2000.0
004,0.9373591707976566,0.9059233449477352,0.9213732004429679,2296.0
005,0.9174078780177891,0.924061433447099,0.9207226354941551,2344.0
006,0.8990384615384616,0.8990384615384616,0.8990384615384616,2080.0
007,0.9729023832843617,0.9675324675324676,0.9702099951163926,3080.0
008,0.9194772344013491,0.9117892976588629,0.9156171284634761,2392.0
009,0.9122308004876066,0.9140879478827362,0.9131584299369534,2456.0
010,0.9259259259259259,0.9244372990353698,0.9251810136765889,2488.0
011,0.8430639887902849,0.9601063829787234,0.8977866202437205,1880.0
012,0.8857018687527162,0.8694539249146758,0.877502691065662,2344.0
013,0.9601128122481869,0.9516773162939297,0.9558764540713999,2504.0
015,0.943891762833267,0.9472843450479234,0.9455850109627267,2504.0
accuracy,0.9235670660089265,0.9235670660089265,0.9235670660089265,0.9235670660089265
macro avg,0.9217218493742829,0.9217873904977006,0.9214328829615024,34056.0
weighted avg,0.9241644895129121,0.9235670660089265,0.9235967881544173,34056.0
