source_row,movimiento,repeticion_id,ventana,fold
0,000,000_0001,1,2
1,000,000_0001,2,2
2,000,000_0001,3,2
3,000,000_0001,4,2
4,000,000_0001,5,2
5,000,000_0001,6,2
6,000,000_0001,7,2
7,000,000_0001,8,2
8,000,000_0002,1,1
9,000,000_0002,2,1
10,000,000_0002,3,1
11,000,000_0002,4,1
12,000,000_0002,5,1
13,000,000_0002,6,1
14,000,000_0002,7,1
15,000,000_0002,8,1
16,000,000_0003,1,5
17,000,000_0003,2,5
18,000,000_0003,3,5
19,000,000_0003,4,5
20,000,000_0003,5,5
21,000,000_0003,6,5
22,000,000_0003,7,5
23,000,000_0003,8,5
24,000,000_0004,1,4
25,000,000_0004,2,4
26,000,000_0004,3,4
27,000,000_0004,4,4
28,000,000_0004,5,4
29,000,000_0004,6,4
30,000,000_0004,7,4
31,000,000_0004,8,4
32,000,000_0005,1,3
33,000,000_0005,2,3
34,000,000_0005,3,3
35,000,000_0005,4,3
36,000,000_0005,5,3
37,000,000_0005,6,3
38,000,000_0005,7,3
39,000,000_0005,8,3
40,000,000_0006,1,2
41,000,000_0006,2,2
42,000,000_0006,3,2
43,000,000_0006,4,2
44,000,000_0006,5,2
45,000,000_0006,6,2
46,000,000_0006,7,2
47,000,000_0006,8,2
48,000,000_0007,1,1
49,000,000_0007,2,1
50,000,000_0007,3,1
51,000,000_0007,4,1
52,000,000_0007,5,1
53,000,000_0007,6,1
54,000,000_0007,7,1
55,000,000_0007,8,1
56,000,000_0008,1,5
57,000,000_0008,2,5
58,000,000_0008,3,5
59,000,000_0008,4,5
60,000,000_0008,5,5
61,000,000_0008,6,5
62,000,000_0008,7,5
63,000,000_0008,8,5
64,000,000_0009,1,4
65,000,000_0009,2,4
66,000,000_0009,3,4
67,000,000_0009,4,4
68,000,000_0009,5,4
69,000,000_0009,6,4
70,000,000_0009,7,4
71,000,000_0009,8,4
72,000,000_0010,1,3
73,000,000_0010,2,3
74,000,000_0010,3,3
75,000,000_0010,4,3
76,000,000_0010,5,3
77,000,000_0010,6,3
78,000,000_0010,7,3
79,000,000_0010,8,3
80,000,000_0011,1,2
81,000,000_0011,2,2
82,000,000_0011,3,2
83,000,000_0011,4,2
84,000,000_0011,5,2
85,000,000_0011,6,2
86,000,000_0011,7,2
87,000,000_0011,8,2
88,000,000_0012,1,1
89,000,000_0012,2,1
90,000,000_0012,3,1
91,000,000_0012,4,1
92,000,000_0012,5,1
93,000,000_0012,6,1
94,000,000_0012,7,1
95,000,000_0012,8,1
96,000,000_0013,1,5
97,000,000_0013,2,5
