,precision,recall,f1-score,support
000,0.9879385964912281,0.9709051724137931,0.9793478260869565,1856.0
001,0.9285714285714286,0.9044811320754716,0.9163679808841099,1696.0
002,0.9647954329210275,0.949438202247191,0.9570552147239264,2136.0
003,0.9615384615384616,0.95,0.9557344064386318,2000.0
004,0.9633981021238138,0.9285714285714286,0.9456642271013529,2296.0
005,0.982750995134896,0.9479522184300341,0.9650380021715527,2344.0
006,0.9589966232513266,0.9557692307692308,0.9573802070792199,2080.0
007,0.9819063004846527,0.9866883116883117,0.9842914979757085,3080.0
008,0.9679350149636596,0.9464882943143813,0.9570915239906996,2392.0
009,0.9514285714285714,0.9491042345276873,0.9502649816551162,2456.0
010,0.9307007355787844,0.9662379421221865,0.9481364622362454,2488.0
011,0.8041325871717606,0.9936170212765958,0.8888888888888888,1880.0
012,0.9625167336010709,0.9202218430034129,0.9408942202835333,2344.0
013,0.9794354838709678,0.9700479233226837,0.9747191011235955,2504.0
015,0.987315875613748,0.9636581469648562,0.9753435731608731,2504.0
accuracy,0.9546335447498239,0.9546335447498239,0.9546335447498239,0.9546335447498239
macro avg,0.9542240628496933,0.9535454067818175,0.953081207586694,34056.0
weighted avg,0.9568684622857725,0.9546335447498239,0.9550602694846052,34056.0
