,precision,recall,f1-score,support
000,0.991332611050921,0.9859913793103449,0.9886547811993517,1856.0
001,0.9194915254237288,0.8956367924528302,0.9074074074074074,1696.0
002,0.9396869244935543,0.9555243445692884,0.947539461467038,2136.0
003,0.9752149721800708,0.964,0.9695750565753081,2000.0
004,0.9446428571428571,0.921602787456446,0.9329805996472663,2296.0
005,0.9732023224653863,0.9296075085324232,0.9509055204014838,2344.0
006,0.886544772620722,0.9091346153846154,0.8976976026584381,2080.0
007,0.9807126511932004,0.974025974025974,0.9773578758755498,3080.0
008,0.9694656488549618,0.955685618729097,0.9625263157894737,2392.0
009,0.9538274605103281,0.9588762214983714,0.9563451776649746,2456.0
010,0.9722222222222222,0.9565916398713826,0.9643435980551054,2488.0
011,0.7869974337040205,0.9787234042553191,0.8724513987671882,1880.0
012,0.9107142857142857,0.8485494880546075,0.8785335689045937,2344.0
013,0.9690175295556461,0.9492811501597445,0.9590478111761146,2504.0
015,0.967443729903537,0.9612619808306709,0.9643429487179487,2504.0
accuracy,0.9436809960065774,0.9436809960065774,0.9436809960065774,0.9436809960065774
macro avg,0.9427011298023629,0.9429661936754077,0.9419806082871495,34056.0
weighted avg,0.9459503736087478,0.9436809960065774,0.9440807863869725,34056.0
